Unit,Plot,Class,Azimuth,Distance,Code,DBH,Height
2,G7,D,90,12.68,CHO,19.4,22.1
2,J6,D,46,16.8,CHO,19.3,26.4
2,F6,O,272,8.72,CHO,21.5,27.2
2,K3,O,25,5.49,SUM,20.6,27.9
2,K6,O,90,6.46,WHO,20.3,34.6
2,B5,O,40,6.04,WHO,20,(blank)
2,H3,D,177,7.3,CHO,19.4,27.8
2,N4,O,246,10.28,SUM,19.4,(blank)
2,B4,D,131,13.06,WHO,19.2,24.7
2,H7,D,262,9.25,BLO,18.6,26.4
2,F6,O,334,7.71,CHO,22.1,26.9
2,G2,O,126,14.77,NRO,20.7,(blank)
2,D5,O,45,16.44,WHO,20.3,(blank)
2,E3,O,114,17.08,CHO,19.7,(blank)
2,D1,O,116,14.78,NRO,19.6,24.4
2,L3,O,299,4.71,BLO,19.6,(blank)
2,E6,O,265,15.74,CHO,17.2,21.5
2,I5,O,317,12.57,CHO,19.8,33.2
2,Q5,O,250,9.12,AMB,19.8,31.3
2,H4,O,132,5.28,BLO,19.5,(blank)
2,L3,O,202,7.62,TUP,19.5,(blank)
2,G2,O,235,6.87,SAS,21.5,(blank)
2,F2,O,347,16.3,BLO,20.3,34.1
2,J4,O,218,10.58,WHA,20.1,33.7
2,C4,O,229,13.09,NRO,19.8,(blank)
2,J3,O,238,12.14,TUP,19.6,(blank)
2,I5,D,359,10.55,WHA,18.7,28
2,C6,O,316,16.49,BLO,20.6,
2,R6,O,192,4.18,MOH,20.5,32.6
2,J2,O,105,4.94,BLW,20.3,30.4
2,E4,O,271,6.97,CHO,20,31.6
2,D5,O,309,6.46,TUP,19.7,(blank)
2,D1,O,127,5.59,CHO,19.6,(blank)
2,L4,O,121,15.98,SUM,7.6,24.1
2,Q7,D,NA,NA,REE,,(blank)
2,G6,O,283,5.23,BLO,21.3,29.2
2,F5,O,212,16.2,CHO,20,(blank)
2,G5,O,276,14.54,CHO,19.5,(blank)
2,D1,O,358,7.25,NRO,18.9,31.1
2,E6,D,42,13.86,CHO,18.5,21.9
2,E6,O,12,11.35,CHO,17.7,(blank)
2,P4,D,282,13.63,WHA,19.4,24.8
2,L4,O,357,6.66,AMB,7.7,19.8
2,B6,O,358,15.08,SCO,20.2,(blank)
2,F4,O,10,9.44,CHO,19.7,24.3
2,G5,O,200,8.41,CHO,19.5,36.1
2,Q4,O,251,15.92,SUM,19.5,(blank)
2,O5,O,1,12.9,SUM,19.4,24.8
2,C4,O,303,15.76,CHO,19.2,(blank)
2,D4,O,7,11.45,SCO,19,34.2
2,J5,O,202,11.98,WHO,18.8,26.2
2,F5,O,28,15.48,NRO,19.9,(blank)
2,D4,O,274,10.88,CHO,19.5,29
2,H4,O,229,13.73,NRO,19.3,(blank)
2,K6,O,331,9.51,CHO,19.1,(blank)
2,Q5,O,314,7.29,BIH,19.1,(blank)
2,A5,D,240,14.42,PIH,18.7,12
2,Q6,D,117,11.73,TUP,18.7,25.5
2,M4,O,335,12.21,BLO,19.1,(blank)
2,E3,O,94,17.26,CHO,19.2,(blank)
2,A5,O,74,13.61,NRO,19,(blank)
2,D6,O,120,14.09,CHO,19,(blank)
2,B6,O,200,13.19,PIO,19.6,28.3
2,I5,O,48,17.4,CHO,18.8,35.6
2,Q7,O,350,14.51,BLW,18.8,38.2
2,G3,O,85,14.11,BLO,18.7,32.4
2,C5,O,115,16.78,TUP,18.5,(blank)
2,D5,O,26,11.64,CHO,18.4,(blank)
2,P6,D,NA,NA,SAS,,(blank)
2,G4,O,302,4.07,BLO,19.6,32.9
2,D6,O,35,12.61,CHO,19.5,(blank)
2,E4,O,284,4.32,CHO,19,(blank)
2,F5,O,276,3.58,SUM,19,29
2,G4,O,221,12.91,BLO,19,(blank)
2,E6,O,76,14.56,BLO,18.7,(blank)
2,G7,O,303,13.18,SCO,18.7,(blank)
2,R5,O,174,6.17,BIH,18.5,33.7
2,G6,D,2,8.44,CHO,18,22.6
2,J2,O,312,10.56,BAS,19.8,(blank)
2,Q5,D,203,NA,SHH,18.7,11.2
2,G5,O,220,3.92,CHO,18.3,35.5
2,J5,O,56,14.03,BLO,14.8,(blank)
2,G6,O,174,13,CHO,19.2,26.2
2,Q5,O,296,17.26,AMB,18.9,(blank)
2,A5,O,39,12.53,AMB,18.7,33.1
2,C4,O,140,15.73,CHO,18.5,27.5
2,E6,O,270,5.59,CHO,18.5,(blank)
2,M3,O,113,14.64,SUM,18.2,36.1
2,K6,O,200,16.33,BLO,18.1,(blank)
2,D3,O,153,11.95,WHO,18,(blank)
2,I5,O,249,5.52,CHO,18,(blank)
2,G6,O,304,17.25,PIH,17.8,(blank)
2,G5,O,11,10.39,CHO,18.3,(blank)
2,C7,O,321,10.21,BLO,18.6,(blank)
2,D6,O,280,17.6,WHO,18.4,(blank)
2,D1,O,40,3.02,CHO,18.2,29.5
2,R5,O,345,3.35,BLG,18,27.6
2,F4,O,227,13.67,CHO,17.8,(blank)
2,J6,O,173,6.02,BLO,18.8,28.2
2,H5,O,213,14.53,SCO,18.7,35
2,D4,O,152,16.56,WHO,18.5,26.2
2,J5,O,138,12.77,BLO,18.4,(blank)
2,E5,O,65,16.53,BLO,18.2,(blank)
2,K6,O,130,10.73,BLO,18,(blank)
2,Q4,O,259,12.31,AMS,18,37.9
2,R5,O,77,4.08,TUP,17.6,(blank)
2,E4,O,215,15.77,CHO,18.5,(blank)
2,F4,O,13,4.34,BLO,18.5,(blank)
2,O5,O,52,16.75,AMB,18.5,(blank)
2,E4,O,205,7.63,PIH,18.3,(blank)
2,I6,O,239,13.88,WHO,19.8,(blank)
2,E6,O,240,13.06,CHO,18.7,(blank)
2,I6,O,144,14.56,WHO,18.7,(blank)
2,E6,O,130,2.64,CHO,18.5,(blank)
2,E3,O,123,13.92,TUP,17.8,(blank)
2,H5,O,356,11.7,TUP,17.8,(blank)
2,F4,D,86,5.79,WHO,17.7,10.1
2,G2,O,146,5.61,BAS,17.7,(blank)
2,I5,O,269,10.3,CHO,17.7,29.6
2,D3,O,171,8.88,CHO,17.5,32
2,K4,O,193,15.02,WHA,18.8,(blank)
2,P6,O,275,12.7,TUP,18.5,31.7
2,H3,O,148,11.86,CHO,18.3,(blank)
2,H4,O,309,12.06,WHO,18.3,(blank)
2,H4,O,114,16.9,WHO,18,29.1
2,D3,O,40,9.71,NRO,17.9,(blank)
2,G6,D,213,17.08,CHO,17.9,(blank)
2,I5,O,339,2.33,CHO,17.7,35.2
2,H3,O,172,14.95,CHO,17.9,(blank)
2,E6,O,257,13.54,CHO,17.8,26.3
2,E6,O,221,12.88,CHO,17.6,(blank)
2,G4,O,274,9.13,CHO,18.8,(blank)
2,E6,O,80,8.81,CHO,18.5,28.4
2,L5,O,194,16.6,WHO,18.3,(blank)
2,L5,O,141,13.78,WHO,18.2,(blank)
2,D5,O,3,14.6,CHO,17.6,36.5
2,F3,O,103,5.71,CHO,17.6,37.8
2,Q5,O,265,17.08,AMB,17.5,26.2
2,R5,O,152,17.82,NRO,28.3,(blank)
2,G6,O,46,10.9,CHO,18.6,(blank)
2,L3,O,224,14.65,CHO,18.2,(blank)
2,I4,O,157,15.05,TUP,17.3,15.3
2,F4,O,194,17.23,BLO,17.1,(blank)
2,F1,D,235,6.22,CHO,16.2,20.8
2,I6,O,132,9.07,CHO,18.4,(blank)
2,I3,O,71,9.69,BIA,17.3,31.3
2,H4,O,97,13.89,CHO,16.2,(blank)
2,Q6,O,316,5.06,SAS,19.3,(blank)
2,J4,O,279,12.43,PIH,18.9,37.2
2,Q4,O,129,13.65,BLW,18,(blank)
2,D6,O,50,9.44,CHO,17.8,(blank)
2,F5,O,350,11.39,WHO,17.7,(blank)
2,E4,O,99,4.71,WHO,17.4,(blank)
2,D3,O,76,15.54,NRO,17.3,33.1
2,Q4,O,66,9.05,TUP,18.1,(blank)
2,A5,O,314,14.15,SUM,17.6,(blank)
2,R5,O,171,13.27,WHA,17.6,30
2,D6,O,225,15.31,WHO,17.4,(blank)
2,E4,O,353,7.4,CHO,17.4,29
2,J5,O,225,5.62,CHO,17.1,(blank)
2,H3,D,13,16.24,TUP,16.8,18.9
2,L4,O,237,15.29,IRO,7.2,(blank)
2,A6,O,15,3.09,SCO,18.9,25.5
2,E4,O,137,17.78,CHO,18.4,(blank)
2,I6,O,215,7.96,BLO,18.3,(blank)
2,G6,O,227,7.03,CHO,17.9,20.6
2,B5,O,193,14.94,PIH,17.5,(blank)
2,E4,O,62,12.53,CHO,17.4,(blank)
2,E3,O,113,5.35,BLO,17,30.2
2,I5,O,12,17.43,CHO,16.7,(blank)
2,H4,D,130,12.11,CHO,14.7,25.7
2,F6,O,275,8.98,CHO,18.6,29.4
2,G4,O,5,17.71,CHO,18,(blank)
2,L5,O,176,3.09,CHO,17.4,29.8
2,E4,O,181,14.63,CHO,17.3,24.5
2,D4,O,238,11.28,CHO,17,(blank)
2,C6,D,30,4.13,CHO,16.9,14.3
2,H4,O,311,11.11,CHO,17.7,(blank)
2,Q5,O,58,14.51,CHO,17.1,(blank)
2,A6,O,211,13.71,VIP,17,(blank)
2,B5,O,18,11.19,REM,16.9,(blank)
2,E3,O,50,10.53,NRO,16.9,(blank)
2,G3,O,75,12,BLO,16.8,(blank)
2,D6,D,190,4.26,CHO,16.2,26.3
2,B6,O,145,8.12,PIO,18.1,(blank)
2,G4,O,58,10.15,BLO,17.6,34.5
2,O4,O,291,3.21,REM,17.2,27.9
2,B6,O,98,14.39,PIO,17.1,(blank)
2,D5,O,169,13.47,SAS,17.1,30.7
2,D6,O,345,3.08,CHO,16.8,33.3
2,Q7,O,199,7.13,SAS,16.7,(blank)
2,E4,O,131,12,BLO,16.6,(blank)
2,L3,O,268,12.44,TUP,16.5,27
2,Q4,O,177,16.69,BLW,17.9,38.1
2,C1,O,222,4.84,SAS,17.2,(blank)
2,G6,O,227,17.21,CHO,17.2,(blank)
2,G6,D,221,16.67,CHO,17,(blank)
2,D3,O,183,15.66,CHO,16.8,(blank)
2,A5,O,87,15.79,REM,16.6,(blank)
2,E6,O,221,7.83,CHO,16.2,(blank)
2,I5,D,NA,NA,CHO,,(blank)
2,I5,D,NA,NA,CHO,,(blank)
2,J6,O,172,16.59,BLO,17,(blank)
2,F4,O,274,5.88,BLO,16.5,23.6
2,M3,O,319,12.65,TUP,16.3,28.4
2,F4,O,40,17.51,CHO,17.1,(blank)
2,D3,O,212,10.87,NRO,17,(blank)
2,J4,O,278,17.18,BLO,17,34.9
2,D6,O,169,16.47,CHO,16.8,(blank)
2,F2,O,229,15.71,BLO,16.7,(blank)
2,H7,D,32,11.56,CHO,16.3,24
2,K6,O,234,16.39,BLG,16.1,(blank)
2,L4,O,121,12.84,SHH,6.3,19.2
2,E4,O,252,13.54,CHO,17.2,(blank)
2,L3,O,247,15.08,NRO,17,(blank)
2,C4,O,176,11.57,CHO,16.9,(blank)
2,D4,O,30,13.22,WHO,16.6,(blank)
2,G7,O,355,13.69,CHO,16.6,31.2
2,H5,O,354,11.7,TUP,16.2,(blank)
2,Q5,O,226,13.47,AMB,15.7,(blank)
2,G2,D,NA,NA,UNK,,NA
2,P4,D,NA,NA,WHA,,(blank)
2,F4,O,138,11.29,CHO,17.5,(blank)
2,A6,O,37,11.6,SCO,17.4,(blank)
2,G5,O,129,9.9,CHO,16.8,(blank)
2,Q4,O,260,10.5,AME,16.8,30.8
2,F4,O,137,8.82,CHO,16.6,(blank)
2,O5,O,194,15.04,SUM,16.4,(blank)
2,I3,O,258,3.24,TUP,16.3,29.3
2,Q6,D,53,6.37,TUP,16,25.9
2,D3,O,25,9.12,TUP,15.9,30.9
2,K4,O,5,16.69,WHA,15.8,37.4
2,E6,O,39,17.16,BLO,17.3,(blank)
2,C6,O,269,0.87,CHO,16.7,
2,J2,O,150,11.22,BLW,16.4,29.3
2,J5,O,310,7.68,CHO,16.4,(blank)
2,J5,O,98,9.06,BLO,16.3,28.9
2,J6,O,203,9.14,BLO,16.2,25.2
2,L3,O,255,14.94,CHO,15.9,(blank)
2,F6,O,241,17.18,CHO,17.5,24.3
2,S5,O,3,15.57,AMB,17.2,23
2,J5,O,331,12.33,CHO,16.8,(blank)
2,G7,O,320,13.99,NRO,16.7,(blank)
2,O4,O,164,13.54,SUM,16.3,27.4
2,F5,O,213,16.58,CHO,15.6,(blank)
2,O4,O,216,5.63,TUP,16,(blank)
2,E3,O,115,16.73,CHO,15.9,(blank)
2,C4,,NA,NA,CHO,,(blank)
2,C6,O,27,14.3,CHO,16.2,
2,F1,O,147,7.74,AMB,16,(blank)
2,P5,O,196,15.31,BIH,16,33
2,E3,O,310,15.75,PIH,15.9,(blank)
2,F4,O,98,15.82,CHO,15.9,(blank)
2,I2,O,128,16.45,CHO,16.4,(blank)
2,G2,O,189,11.97,REM,16,(blank)
2,C1,O,57,12.81,SHH,15.8,(blank)
2,D3,O,178,17.06,CHO,15.7,(blank)
2,K6,O,336,3.19,WHO,15.7,(blank)
2,P4,D,49,1.17,WHA,15.7,14.5
2,Q7,O,156,8.01,SAS,15.7,22.7
2,H3,D,182,13.43,CHO,15.3,27.2
2,J4,O,338,14.51,TUP,16.6,(blank)
2,I4,O,63,10.66,TUP,16.4,(blank)
2,H3,O,122,10.59,WHO,15.9,37.6
2,M4,O,280,8.02,BLO,15.9,31.1
2,J6,D,44,17.35,CHO,15.1,17.8
2,N4,D,NA,NA,SHH,,NA
2,H6,O,93,3.15,CHO,19.7,23.8
2,I4,O,169,10.21,TUP,17,33.9
2,L5,O,340,12.4,REM,16.1,(blank)
2,D7,O,0,4.53,WHO,15.7,19.9
2,H6,O,15,11.91,WHO,15.3,25.8
2,H7,D,NA,NA,BLO,,NA
2,H4,O,96,14.96,CHO,17.7,(blank)
2,Q6,O,18,15.58,BLG,17.2,(blank)
2,G4,O,50,4.15,BLO,16.8,(blank)
2,E4,O,250,12.99,CHO,16.3,25.8
2,B4,O,121,15.16,CHO,16.2,(blank)
2,D5,O,7,14.78,CHO,15.5,(blank)
2,G5,O,276,14.87,CHO,15.5,(blank)
2,E4,O,212,17.08,CHO,15.3,(blank)
2,J3,O,262,9.78,BIH,15.3,30
2,D1,O,40,16.47,SUM,15.1,(blank)
2,Q4,O,13,3.62,BLW,15.1,26.2
2,L4,D,200,11.72,TUP,5.8,7.7
2,G4,O,56,10.72,BLO,15.8,(blank)
2,K6,O,100,6.74,WHO,15.6,(blank)
2,F5,O,49,12.07,CHO,15.5,(blank)
2,B5,O,173,7.58,PIH,15.4,33.6
2,H5,O,55,10.11,WHO,15.4,36.7
2,Q7,O,205,14.27,SAS,15.4,(blank)
2,G7,O,320,15.52,NRO,15.3,(blank)
2,I3,O,71,10.71,BIA,15.3,31.1
2,E3,O,48,10.27,NRO,15.2,(blank)
2,F2,O,126,17.3,NRO,16.3,(blank)
2,C4,O,110,11.1,CHO,16.2,29
2,C4,O,161,11.23,CHO,15.8,(blank)
